SUBURB,Median House Prices Jan - Mar 18,Median House Prices Apr- Jun 18,Median House Prices Jul - Sep 18,Median House Prices Oct - Dec 18,Median House Prices Jan - Mar 19
ABBOTSFORD,1220000,1135000,1205000,1185000,1015000
ABERFELDIE,1627500,1500000,1607500,1380500,1410000
AINTREE,611000,630000,635000,563500,580000
AIREYS INLET,788000,1010000,884500,815000,885000
AIRPORT WEST,870000,857500,872500,792500,690000
ALBANVALE,547500,560000,540000,530000,520000
ALBERT PARK,2070000,1950000,2212500,1832500,1690000
ALBION,750000,756500,715000,800500,672500
ALEXANDRA,371000,305000,335000,330000,354500
ALFREDTON,425000,437000,450000,421000,475000
ALPHINGTON,1720000,1658500,1140000,1750000,1285000
ALTONA,985000,850000,915000,985000,840000
ALTONA EAST,907500,995000,855000,830000,800000
ALTONA MEADOWS,661500,630000,621300,665000,713800
ALTONA NORTH,875000,827500,880000,780000,800000
ANGLESEA,860000,832000,887500,925000,837500
APOLLO BAY,530000,603300,690000,550000,615000
ARARAT,190000,198300,192000,217500,213000
ARDEER,630000,660000,608000,590000,635000
ARMADALE,2300500,2750000,2057400,2327500,1765000
ARMSTRONG CREEK,522500,518000,550000,540000,570000
ASCOT (GREATER BENDIGO),390500,350000,371500,400000,402500
ASCOT VALE,1100000,1210000,1200000,1235400,1100000
ASHBURTON,1949000,1710000,1575000,1600800,1410000
ASHWOOD,1305000,1280000,1200000,1100000,1030000
ASPENDALE,1061500,940000,940000,1005000,946000
ASPENDALE GARDENS,1015000,901000,945000,940000,852000
ATTWOOD,675000,730000,860000,816000,809000
AVENEL,340000,315000,349000,533000,392500
AVOCA,182500,200000,239300,222500,220000
AVONDALE HEIGHTS,860000,808000,842500,820000,777500
BACCHUS MARSH,443000,475000,487500,515000,505000
BADGER CREEK,482500,547500,590000,428500,580000
BAIRNSDALE,279000,275000,270000,265000,251000
BALACLAVA,1395000,1325000,1049000,1085000,1125000
BALCOMBE,1450000,1150000,1317500,1100000,1100000
BALLAN,438300,459100,450500,530000,435000
BALLARAT CENTRAL,468300,404000,420000,470000,525000
BALLARAT EAST,330000,345000,329000,347500,360000
BALLARAT NORTH,353800,378900,399500,395000,395000
BALNARRING,830000,790000,973500,780000,915000
BALNARRING BEACH,1495000,1950000,955000,1630000,1100000
BALWYN,2450000,2338000,2715000,2237500,2007500
BALWYN NORTH,2050000,1889000,1770000,1560000,1590000
BANNOCKBURN,481000,464000,505000,550000,538000
BARANDUDA,442000,440000,339800,403500,374500
BARNAWARTHA,343000,269500,287500,250000,294000
BARWON HEADS,1032500,935000,932500,1110500,1010000
BAXTER,550000,540000,550000,487500,550000
BAYSWATER,800000,795000,727500,740000,630000
BAYSWATER NORTH,703000,745000,678500,700000,702700
BEACONSFIELD,720000,788500,728000,670000,750000
BEACONSFIELD UPPER,900000,966200,770000,987500,855000
BEAUFORT,210000,243800,212000,242500,280000
BEAUMARIS,1730000,1800000,1710000,1510000,1303000
BEECHWORTH,433800,382000,390000,414500,485000
BELGRAVE,659300,699200,698500,640000,611500
BELGRAVE HEIGHTS,743000,630000,750000,671000,600000
BELL PARK,416000,462500,478500,480800,451000
BELL POST HILL,471000,486300,490000,503500,460300
BELLBRIDGE,354800,332500,400000,418800,325000
BELLFIELD (BANYULE),901000,870000,1015000,715000,787500
BELMONT,545000,533000,560000,536000,520000
BENALLA,268000,290000,278000,325000,266000
BENDIGO,405000,431500,398000,375000,420000
BENTLEIGH,1500000,1395500,1419800,1250000,1275000
BENTLEIGH EAST,1260000,1250000,1200000,1107500,1057500
BERWICK,708500,720000,680000,685000,657000
BEULAH,127500,121100,52000,164000,164000
BEVERIDGE,557500,545000,584000,488800,612500
BIRCHIP,95000,200000,68000,110000,200000
BITTERN,697500,632500,680000,587000,542500
BLACK HILL,387500,415000,421000,391000,470000
BLACK ROCK,2320000,2042000,1800000,1855000,1785000
BLACKBURN,1420000,1380000,1330000,1195000,1095000
BLACKBURN NORTH,1050000,1133800,998500,923000,920000
BLACKBURN SOUTH,1135000,1222900,1003000,950000,905000
BLAIRGOWRIE,1000000,922500,978500,997500,920000
BLIND BIGHT,530000,520000,549000,566500,620000
BONBEACH,962500,919000,860000,880000,826000
BONNIE DOON,350000,497500,460000,402500,430000
BOOLARRA,260000,280000,292500,230000,261000
BOORT,260000,215000,180000,143500,97000
BORONIA,776000,793500,730500,670000,658000
BOTANIC RIDGE,725000,735000,725000,752000,750000
BOX HILL,1950000,1661500,1481000,1855000,1375000
BOX HILL NORTH,1425000,1172500,1175000,1040000,1025000
BOX HILL SOUTH,1392500,1317500,1200000,1048900,971000
BRAYBROOK,765000,753000,697000,733900,700000
BREAKWATER,356000,385000,385000,380500,480000
BRIAR HILL,980000,876500,840000,784300,825800
BRIDGEWATER ON LODDON,288000,300000,247000,247000,225000
BRIGHT,585000,600000,560000,657500,482000
BRIGHTON,3037500,2850000,2700000,2575000,2360000
BRIGHTON EAST,1992500,1865000,1785000,1820000,1557500
BROADFORD,335000,382500,347500,410000,400000
BROADMEADOWS,575000,588000,557500,555000,522300
BROOKFIELD,505000,477000,490000,497500,445000
BROOKLYN,700000,840000,640000,683000,625000
BROWN HILL,375000,410000,400000,422900,455000
BRUNSWICK,1100000,1170000,985000,1029000,950000
BRUNSWICK EAST,1147500,1200000,1212500,1017500,967500
BRUNSWICK WEST,1250000,1072500,1160000,1211000,950000
BULLEEN,1290000,1350000,1222800,1015000,1028000
BUNDALONG,380000,462500,448500,1300000,1175000
BUNDOORA,735000,736300,721500,705000,655000
BUNINYONG,470000,447500,495000,418900,520000
BUNYIP,497500,585300,642500,516000,466000
BURNSIDE,610000,660000,602500,561000,560000
BURNSIDE HEIGHTS,625500,632800,647500,640000,592300
BURWOOD,1400000,1370700,1250000,1205000,980500
BURWOOD EAST,1155000,1022500,1025000,1010600,919800
CAIRNLEA,681000,792000,765000,785000,755000
CALIFORNIA GULLY,272500,285000,270000,270000,262000
CAMBERWELL,2187500,2225000,2015000,2100000,1817500
CAMPBELLFIELD,580000,575000,550000,468500,542000
CAMPBELLS CREEK,444500,428000,469000,482000,573500
CAMPERDOWN,200000,235000,227500,298800,215000
CANADIAN,445000,341000,370000,378000,375000
CANN RIVER,207500,89000,125000,130000,132500
CANTERBURY,2825000,2372500,2735500,2370000,2441500
CAPE PATERSON,432500,500000,395500,525000,492500
CAPEL SOUND,551000,560000,555000,520000,485000
CARISBROOK,222500,247000,225000,335000,180000
CARLTON,1905000,1230000,1475000,2020000,1306000
CARLTON NORTH,1600000,1410000,1592500,1360000,1550000
CARNEGIE,1630000,1387500,1430500,1182000,1247500
CAROLINE SPRINGS,606000,630000,623000,607000,606300
CARRUM,890000,830000,833800,935000,785300
CARRUM DOWNS,580500,581300,572500,550000,535000
CASTERTON,132500,145000,125000,140000,150000
CASTLEMAINE,505000,515000,475500,500000,505000
CAULFIELD,1700500,1720000,2107500,1465000,1735000
CAULFIELD EAST,1438000,1050000,1295000,1350000,1370000
CAULFIELD NORTH,1985000,1820000,1992500,1960000,1689000
CAULFIELD SOUTH,1550000,1755000,1541300,1490000,1432500
CHADSTONE,1050000,1075000,1091100,888700,874000
CHARLTON,140000,195000,152500,118000,249000
CHELSEA,1110000,900000,925000,775300,675300
CHELSEA HEIGHTS,781000,806500,802500,747500,725000
CHELTENHAM,1163500,1170000,1060000,1020000,940800
CHELTENHAM EAST,973000,894000,900000,800000,1000000
CHELTENHAM NORTH,880000,950000,985000,845000,858000
CHEWTON,460000,375000,412500,496300,347500
CHILTERN,259000,255000,231000,277500,235000
CHIRNSIDE PARK,685000,750000,725500,680000,680000
CHUM CREEK,-,588100,615000,565000,545000
CHURCHILL,170000,180000,183500,187500,184300
CLARINDA,953000,795000,866000,745000,730000
CLAYTON,1262500,1225000,1080000,1207500,887500
CLAYTON NORTH,1500000,993000,1187500,1400000,1428000
CLAYTON SOUTH,857500,834300,821100,865000,786000
CLIFTON HILL,1327500,1406500,1490000,1175000,1417500
CLIFTON SPRINGS,477000,461000,461500,514000,482500
CLUNES,380000,410000,260100,360000,307500
CLYDE,485000,431000,525000,521400,510000
CLYDE NORTH,595000,600000,615000,597000,568300
COBBLEBANK,460000,503000,420000,451000,480000
COBDEN,295000,141000,177500,260000,238000
COBRAM,232000,290000,265000,274000,251500
COBURG,965000,980000,956500,985000,880000
COBURG EAST,900000,858500,792500,722000,804500
COBURG NORTH,805000,836800,850100,757500,752500
COCKATOO,583300,595000,600000,577500,550300
COHUNA,165500,220000,176300,155000,232500
COLAC,298500,296300,326000,325000,317500
COLDSTREAM,675000,690000,641000,623000,561500
COLERAINE,122500,111500,115000,98000,136000
COLLINGWOOD,1253000,1050000,1062500,1160000,957500
COOLAROO,487500,480000,485000,440000,430000
COONANS HILL,890000,1095000,897500,940500,1166500
COONGULLA,295000,127000,310000,211000,307500
CORINELLA,415000,405000,520000,442000,490000
CORIO,360500,375000,380000,365000,357500
CORONET BAY,355000,345000,315000,357500,455000
CORRYONG,160000,165000,208000,126000,206000
COWES,505000,570500,550000,580000,485000
COWES WEST,478500,449000,525000,520000,545000
CRAIGIEBURN,555000,551500,550000,543500,523000
CRANBOURNE,565000,543800,527000,485000,507000
CRANBOURNE EAST,573000,586700,556300,563800,557800
CRANBOURNE NORTH,600000,597000,622500,597500,550000
CRANBOURNE WEST,560000,544500,525000,529500,537000
CREMORNE,1347500,1287500,1758600,1550000,1524400
CRESWICK,305000,328900,375000,345000,336100
CRIB POINT,492000,616000,535000,570000,565000
CROYDON,827500,785000,777000,760000,707500
CROYDON HILLS,906000,872500,871000,880000,746500
CROYDON NORTH,878500,877400,809500,750100,807500
CROYDON SOUTH,862000,773000,765000,731000,675000
CURLEWIS,490000,475000,501300,523000,615000
DALLAS,505000,477500,510000,460000,450000
DALYSTON,330000,300000,305000,275000,355000
DANDENONG,668800,655000,630000,588500,610000
DANDENONG NORTH,675000,650000,608500,615000,607500
DARLEY,436500,535000,530000,506500,505000
DAYLESFORD,517000,537000,590000,627500,585000
DEEPDENE,3050000,3000000,2528000,2500000,3700000
DEER PARK,593000,568000,577500,576500,527500
DELACOMBE,350000,343800,375000,370000,390000
DELAHEY,584000,586500,578800,534000,511000
DENNINGTON,335000,355000,362500,350000,352500
DERRIMUT,692500,606000,601000,615000,625000
DERRINALLUM,99000,176300,107500,132500,150000
DIAMOND CREEK,847500,815000,772500,750000,812500
DIGGERS REST,492000,470000,504000,536300,500000
DIMBOOLA,115000,167500,109500,120000,215000
DINGLEY VILLAGE,878000,850000,842000,770000,725000
DINNER PLAIN,535000,430000,550000,547500,520000
DONALD,142500,172000,145000,90000,152500
DONCASTER,1335000,1422800,1250000,1137500,1165000
DONCASTER EAST,1300000,1229000,1212000,1155000,1092500
DONVALE,1180000,1200000,1150000,1139000,988000
DOREEN,605300,612500,605000,580000,572000
DOVETON,572500,570000,512500,480000,466000
DROMANA,790000,910000,750000,683000,810000
DROUIN,425300,481300,482500,440800,450000
DRYSDALE,479500,490000,532000,540000,549800
DUNOLLY,185000,190000,291500,206000,243000
EAGLE POINT,387500,332500,342500,290000,270000
EAGLEHAWK,327000,310000,285000,324300,330000
EAGLEMONT,1950000,1845000,2160000,1686400,1675000
EAST BAIRNSDALE,225000,322500,225000,200000,215000
EAST BENDIGO,320000,310000,312500,345000,345000
EAST GEELONG,607500,673300,717500,565000,530000
EAST MELBOURNE,4268000,1680000,2250000,2400000,2830000
EAST WARBURTON,483000,375000,295000,460000,408500
EASTWOOD,420000,390000,363000,375000,400000
ECHUCA,352500,360500,355000,392000,392500
EDENHOPE,121500,228500,78500,173000,193500
EDITHVALE,1100000,1010000,885500,1147000,900000
EILDON,250500,247500,264000,250000,337500
ELLIMINYT,459500,385000,330000,425000,430000
ELMORE,150000,102000,240000,229300,230500
ELSTERNWICK,2201000,1925000,1775000,1920000,1425000
ELTHAM,1070000,950000,930000,880000,930000
ELTHAM NORTH,927800,920000,1025500,911500,849500
ELWOOD,2310000,2168000,1950000,1820000,1950000
EMERALD,730000,719300,750000,651500,672000
ENDEAVOUR HILLS,685000,657500,625000,630000,605000
EPPING,620000,615000,600000,540000,538000
EPSOM,357000,358000,345000,367500,376500
ESSENDON,1725000,1520000,1772500,1510000,1375500
ESSENDON NORTH,1095000,1235000,1092500,1060000,910000
ESSENDON WEST,1282500,1375000,1220000,1220000,1220000
EUMEMMERRING,595000,675000,622500,613500,570000
EUREKA,244000,335300,322500,300000,375000
EUROA,287500,277500,255000,245000,285000
EYNESBURY,550000,575000,575000,540000,555000
FAIRFIELD,1475000,1377000,1300000,1205000,1315500
FAIRHAVEN,1000000,1020000,1642500,950000,1437500
FAWKNER,730000,741000,695000,698000,642000
FERNTREE GULLY,750000,775000,697500,710000,650000
FERNY CREEK,850000,682500,830000,786500,871500
FINGAL,1262500,1587500,1190000,1412500,1130000
FITZROY,1747500,1450000,1368000,1425000,1283800
FITZROY NORTH,1772000,1632000,1355000,1450000,1490000
FIVEWAYS,542500,542500,690000,450000,477500
FLEMINGTON,1011000,882500,905000,1048800,1080000
FLINDERS,1500000,1820000,1330000,2175000,1687500
FLORA HILL,340400,363500,330000,352500,370000
FLOWERDALE,376500,390000,393000,403000,403000
FOOTSCRAY,931000,915000,880000,845500,784800
FOREST HILL,958300,970000,888000,870000,810000
FOSTER,319000,407500,351500,342000,357500
FRANKSTON,615000,630000,580000,573000,570000
FRANKSTON NORTH,516500,511000,490000,451500,423000
FRANKSTON SOUTH,832500,872500,895000,825000,815000
FRASER RISE,630000,634500,617500,590000,590000
GARDEN CITY,1710000,1600000,1340000,1445000,1480000
GARFIELD,590000,590000,607500,477500,457500
GEELONG,750000,745000,705500,785000,838500
GEELONG WEST,840000,666000,707000,675500,640000
GEMBROOK,585000,730000,610000,555000,547500
GISBORNE,780000,725000,765000,785000,690000
GLADSTONE PARK,639800,643800,615500,620000,610000
GLEN HUNTLY,1130000,1540000,1189000,1165000,1030000
GLEN IRIS,2010000,2029300,1890000,1765000,1815000
GLEN WAVERLEY,1335300,1330000,1299300,1170000,1130000
GLENROY,720000,765000,727800,677500,675000
GOLDEN BEACH,165000,224000,205000,230000,190000
GOLDEN POINT (BALLARAT),280000,350000,335100,420000,335000
GOLDEN SQUARE,331500,331800,355000,332500,345000
GORDON,399000,480000,400000,560000,540000
GOROKE,88000,85000,78000,78000,69000
GOUGHS BAY,320000,368000,367500,345000,310000
GOWANBRAE,960000,711300,700000,737500,705000
GRANTVILLE,367500,417500,435000,333800,373800
GREEN LAKE,300000,195000,270000,255000,316500
GREENSBOROUGH,825000,860000,786300,765000,808000
GREENVALE,720000,725000,708800,736000,707500
GROVEDALE,470000,495000,500000,510300,500000
GUNBOWER,92500,92500,122000,127500,135000
HADFIELD,786000,737000,740000,727500,715000
HALLAM,657500,623500,632500,573500,581500
HALLS GAP,225000,357500,357500,392500,305000
HAMILTON,212500,212500,243500,220000,215000
HAMLYN HEIGHTS,532800,561000,501000,550000,558000
HAMPTON,1850000,1910000,2050000,1900000,1850000
HAMPTON EAST,1320000,1321500,1180000,1075000,1027500
HAMPTON PARK,575000,550000,535000,525000,500000
HARKNESS,480000,482500,494000,481000,470000
HARRIETVILLE,350000,450000,400000,450000,449000
HASTINGS,550000,512000,514000,522500,485000
HASTINGS WEST,544500,567500,470000,396800,427500
HAWTHORN,2775000,2175000,2250000,2402500,1950000
HAWTHORN EAST,2690000,2111000,2075000,1980000,2212500
HEALESVILLE,590000,599000,606000,660000,527500
HEATHCOTE,369000,307300,282500,320000,360000
HEATHCOTE JUNCTION,580000,580000,589000,845000,845000
HEATHERTON,925000,1060000,935000,844500,832500
HEATHMONT,960000,937000,920000,900000,840000
HEIDELBERG,1296000,1140000,1075000,1095000,1020000
HEIDELBERG HEIGHTS,820000,878000,822500,757000,818300
HEIDELBERG WEST,730000,733000,696300,700000,695000
HEPBURN,410000,445000,445000,450000,313800
HEPBURN SPRINGS,490000,615000,399000,495000,525500
HERNE HILL,545000,557500,510000,560000,540000
HEYFIELD,150000,245000,222500,262500,190000
HEYWOOD,166000,121500,175000,167800,183000
HIGHETT,1350000,1320000,1290000,1175000,990000
HIGHTON,693500,680000,675000,673000,685000
HILLSIDE (MELTON),641500,642500,648500,652500,652500
HOPETOUN,85500,82800,119000,63500,51000
HOPPERS CROSSING,559500,552000,550000,545000,515000
HORSHAM,260000,259500,255000,246000,271000
HUGHESDALE,1346600,1330000,1238000,1027500,1185000
HUNTINGDALE,1125000,967500,1036500,885000,860000
HUNTLY,340000,337000,400000,380000,385000
HURSTBRIDGE,731000,787000,722500,734000,737500
INDENTED HEAD,515000,615000,571800,720000,505000
INGLEWOOD,180000,210000,185000,180000,166500
INVERLOCH,577500,572500,626500,617000,592500
INVERMAY PARK,371300,492500,422500,490000,475000
IRONBARK,347500,308300,301300,355000,350000
IRYMPLE,297000,315500,345500,340000,315100
IVANHOE,1790000,1752500,1402500,1430000,1590000
IVANHOE EAST,1780000,2075000,2050600,1679000,1620000
JACANA,587000,585000,540000,540000,504000
JACKASS FLAT,292000,341000,313800,310000,330000
JAMIESON,349000,265000,197500,210000,387500
JAN JUC,900000,1020000,877500,910000,805000
JEERALANG NORTH,237500,164000,218300,146000,228000
JEPARIT,88500,110000,55000,92500,58300
JOLIMONT,2950000,5050000,4200000,4200000,4200000
JUNCTION VILLAGE,512500,513500,505000,541000,496000
JUNORTOUN,475000,554000,500000,551300,496000
KALIMNA,330500,262500,330000,315000,290000
KALKALLO,570000,535000,590000,546000,512500
KALLISTA,705000,743500,690000,755000,651500
KALORAMA,671500,683000,780000,672800,650000
KANGAROO FLAT,301300,330000,326500,335000,303800
KANGAROO GROUND SOUTH,910000,1052500,922500,855000,725000
KANIVA,168000,170000,142500,113500,220000
KEALBA,621500,617600,593000,579000,562500
KEILOR,798000,885000,990000,755500,730000
KEILOR DOWNS,667500,664000,680500,640000,610000
KEILOR EAST,870000,900000,875000,760000,740000
KEILOR LODGE,656500,770000,708500,790000,715000
KEILOR PARK,715000,680000,780500,825000,692000
KENNINGTON,365000,385000,382100,385000,357000
KENSINGTON,1150000,954000,997500,1000000,835500
KERANG,179500,205000,152000,176500,212500
KEW,2525000,2397500,2260000,2055000,1817300
KEW EAST,1985500,1832500,1820000,1266900,1266900
KEW NORTH,1935000,1855000,1750000,1700000,1780000
KEYSBOROUGH,850000,745000,775000,760000,690000
KIALLA,430000,385000,405000,449000,450000
KILCUNDA,400000,552000,540000,492500,533000
KILLARA (WODONGA),396000,414000,420000,425000,450000
KILMORE,422000,448700,465000,430000,438800
KILSYTH,701300,708800,695000,650000,627500
KILSYTH SOUTH,840500,925000,800000,747800,797800
KINGLAKE,525000,525000,427500,412500,477500
KINGS PARK,560000,556500,555000,505000,500000
KINGSBURY,680000,754000,691500,740000,665800
KINGSVILLE,1030000,985000,952500,1020000,962000
KNOXFIELD,837500,820000,850000,725000,718500
KOO WEE RUP,490000,477500,559000,525300,580000
KOONDROOK,270000,247000,270000,201000,190000
KOROIT,354300,347500,355000,344500,283000
KORUMBURRA,316300,310000,320000,315000,345000
KURUNJANG,439500,440500,442500,405000,417000
KYABRAM,281500,239500,242500,265500,256500
KYNETON,500000,583500,546500,575000,555000
